time,P,G(i),H_sun,T2m,WS10m,Int
20190108:2010,0.0,0.0,0.0,1.51,5.52,0.0
20190108:2110,0.0,0.0,0.0,1.6,5.86,0.0
20190108:2210,0.0,0.0,0.0,1.22,6.34,0.0
20190108:2310,0.0,0.0,0.0,0.77,6.28,0.0
20190109:0010,0.0,0.0,0.0,0.7,6.07,0.0
20190109:0110,0.0,0.0,0.0,0.49,6.28,0.0
20190109:0210,0.0,0.0,0.0,0.17,6.21,0.0
20190109:0310,0.0,0.0,0.0,0.11,5.72,0.0
20190109:0410,0.0,0.0,0.0,0.0,5.59,0.0
20190109:0510,0.0,0.0,0.0,-0.13,5.52,0.0
20190109:0610,0.0,0.0,0.0,-0.25,5.45,0.0
20190109:0710,0.0,0.0,0.0,-0.42,5.03,0.0
20190109:0810,8.28,19.95,5.86,-0.5,4.55,0.0
20190109:0910,4.7,14.51,11.57,-0.42,4.41,0.0
20190109:1010,47.08,68.0,15.4,-0.35,4.55,0.0
20190109:1110,50.25,71.62,17.01,-0.13,6.41,0.0
20190109:1210,57.45,79.78,16.24,-0.19,5.93,0.0
20190109:1310,160.45,189.77,13.17,-0.21,5.86,0.0
20190109:1410,13.49,27.2,8.08,-0.35,5.52,0.0
20190109:1510,0.0,0.0,0.0,-0.5,4.76,0.0
20190109:1610,0.0,0.0,0.0,-0.61,4.48,0.0
20190109:1710,0.0,0.0,0.0,-0.62,4.21,0.0
20190109:1810,0.0,0.0,0.0,-0.71,4.21,0.0
20190109:1910,0.0,0.0,0.0,-1.05,4.55,0.0
20190109:2010,0.0,0.0,0.0,-1.2,4.55,0.0
20190109:2110,0.0,0.0,0.0,-1.26,4.41,0.0
20190109:2210,0.0,0.0,0.0,-1.18,4.28,0.0
20190109:2310,0.0,0.0,0.0,-1.03,4.14,0.0
20190110:0010,0.0,0.0,0.0,-0.9,4.0,0.0
20190110:0110,0.0,0.0,0.0,-0.84,4.0,0.0
20190110:0210,0.0,0.0,0.0,-0.8,3.93,0.0
20190110:0310,0.0,0.0,0.0,-0.82,3.79,0.0
20190110:0410,0.0,0.0,0.0,-0.87,3.72,0.0
20190110:0510,0.0,0.0,0.0,-1.0,3.66,0.0
20190110:0610,0.0,0.0,0.0,-1.12,3.66,0.0
20190110:0710,0.0,0.0,0.0,-1.42,3.45,0.0
20190110:0810,49.05,69.42,5.95,-1.55,2.9,0.0
20190110:0910,65.78,88.35,11.68,-1.57,2.9,0.0
20190110:1010,20.59,36.27,15.53,-1.47,3.45,0.0
20190110:1110,27.2,44.43,17.15,-1.44,3.45,0.0
20190110:1210,31.73,49.87,16.4,-1.48,3.31,0.0
20190110:1310,30.21,48.05,13.34,-1.51,3.1,0.0
20190110:1410,14.28,28.11,8.25,-1.92,2.76,0.0
20190110:1510,0.0,0.0,0.0,-2.43,2.14,0.0
20190110:1610,0.0,0.0,0.0,-3.03,1.93,0.0
20190110:1710,0.0,0.0,0.0,-3.21,1.86,0.0
20190110:1810,0.0,0.0,0.0,-3.54,1.59,0.0
20190110:1910,0.0,0.0,0.0,-3.98,1.24,0.0
20190110:2010,0.0,0.0,0.0,-5.03,1.17,0.0
20190110:2110,0.0,0.0,0.0,-5.94,1.38,0.0
20190110:2210,0.0,0.0,0.0,-6.58,1.45,0.0
20190110:2310,0.0,0.0,0.0,-7.34,1.59,0.0
20190111:0010,0.0,0.0,0.0,-7.12,1.66,0.0
20190111:0110,0.0,0.0,0.0,-6.73,1.79,0.0
20190111:0210,0.0,0.0,0.0,-6.19,1.86,0.0
20190111:0310,0.0,0.0,0.0,-5.42,2.0,0.0
20190111:0410,0.0,0.0,0.0,-5.07,2.14,0.0
20190111:0510,0.0,0.0,0.0,-4.48,2.21,0.0
20190111:0610,0.0,0.0,0.0,-3.98,2.41,0.0
20190111:0710,0.0,0.0,0.0,-3.41,2.69,0.0
20190111:0810,48.82,68.79,6.04,-2.93,3.03,0.0
20190111:0910,25.08,41.71,11.79,-2.32,3.17,0.0
20190111:1010,21.35,37.17,15.66,-1.82,3.31,0.0
20190111:1110,29.43,47.15,17.3,-1.27,3.45,0.0
20190111:1210,31.63,49.87,16.56,-0.84,3.38,0.0
20190111:1310,64.12,87.04,13.51,-0.46,3.31,0.0
20190111:1410,98.72,124.91,8.43,-0.1,3.72,0.0
20190111:1510,0.0,0.0,0.0,0.32,3.72,0.0
20190111:1610,0.0,0.0,0.0,0.67,3.72,0.0
20190111:1710,0.0,0.0,0.0,1.06,3.66,0.0
20190111:1810,0.0,0.0,0.0,1.49,3.59,0.0
20190111:1910,0.0,0.0,0.0,1.32,3.59,0.0
20190111:2010,0.0,0.0,0.0,1.79,3.59,0.0
20190111:2110,0.0,0.0,0.0,2.07,3.66,0.0
20190111:2210,0.0,0.0,0.0,2.33,3.72,0.0
20190111:2310,0.0,0.0,0.0,2.42,3.86,0.0
20190112:0010,0.0,0.0,0.0,2.41,3.86,0.0
20190112:0110,0.0,0.0,0.0,2.35,3.79,0.0
20190112:0210,0.0,0.0,0.0,2.38,3.72,0.0
20190112:0310,0.0,0.0,0.0,2.48,3.59,0.0
20190112:0410,0.0,0.0,0.0,2.53,3.45,0.0
20190112:0510,0.0,0.0,0.0,2.67,3.45,0.0
20190112:0610,0.0,0.0,0.0,2.78,3.66,0.0
20190112:0710,0.0,0.0,0.0,2.63,3.79,0.0
20190112:0810,61.85,85.0,6.14,2.61,3.79,0.0
20190112:0910,65.02,88.92,11.91,2.61,3.59,0.0
20190112:1010,20.16,36.27,15.79,2.62,3.45,0.0
20190112:1110,11.95,25.39,17.46,2.61,3.86,0.0
20190112:1210,9.37,21.76,16.73,2.76,4.48,0.0
20190112:1310,39.4,59.84,13.69,2.89,4.69,0.0
20190112:1410,35.6,55.18,8.61,2.78,4.83,0.0
20190112:1510,0.0,0.0,0.0,2.26,4.97,0.0
20190112:1610,0.0,0.0,0.0,2.11,5.1,0.0
20190112:1710,0.0,0.0,0.0,2.05,5.1,0.0
20190112:1810,0.0,0.0,0.0,1.87,4.9,0.0
20190112:1910,0.0,0.0,0.0,1.98,4.9,0.0
20190112:2010,0.0,0.0,0.0,1.96,4.55,0.0
20190112:2110,0.0,0.0,0.0,1.96,4.48,0.0
20190112:2210,0.0,0.0,0.0,2.09,4.41,0.0
20190112:2310,0.0,0.0,0.0,2.15,4.21,0.0
20190113:0010,0.0,0.0,0.0,2.26,4.14,0.0
20190113:0110,0.0,0.0,0.0,2.67,4.21,0.0
20190113:0210,0.0,0.0,0.0,3.01,4.34,0.0
20190113:0310,0.0,0.0,0.0,3.15,4.48,0.0
20190113:0410,0.0,0.0,0.0,3.25,4.48,0.0
20190113:0510,0.0,0.0,0.0,3.28,4.41,0.0
20190113:0610,0.0,0.0,0.0,3.39,4.41,0.0
20190113:0710,0.0,0.0,0.0,3.08,4.14,0.0
20190113:0810,8.73,20.85,6.24,3.08,4.14,0.0
20190113:0910,37.05,57.12,12.03,3.16,4.28,0.0
20190113:1010,53.31,76.16,15.94,3.25,4.69,0.0
20190113:1110,76.96,102.74,17.62,3.03,4.55,0.0
20190113:1210,62.54,86.66,16.91,3.36,4.76,0.0
20190113:1310,17.92,33.55,13.87,4.13,5.31,0.0
20190113:1410,15.82,30.83,8.8,4.61,5.45,0.0
20190113:1510,0.0,0.0,0.0,5.1,5.66,0.0
20190113:1610,0.0,0.0,0.0,5.51,5.86,0.0
20190113:1710,0.0,0.0,0.0,5.62,6.0,0.0
20190113:1810,0.0,0.0,0.0,5.65,6.14,0.0
20190113:1910,0.0,0.0,0.0,5.42,6.21,0.0
20190113:2010,0.0,0.0,0.0,5.17,6.76,0.0
20190113:2110,0.0,0.0,0.0,4.7,6.28,0.0
20190113:2210,0.0,0.0,0.0,4.34,6.14,0.0
20190113:2310,0.0,0.0,0.0,3.96,6.0,0.0
20190114:0010,0.0,0.0,0.0,3.9,6.34,0.0
20190114:0110,0.0,0.0,0.0,3.97,6.83,0.0
20190114:0210,0.0,0.0,0.0,3.3,6.14,0.0
20190114:0310,0.0,0.0,0.0,2.64,5.72,0.0
20190114:0410,0.0,0.0,0.0,2.2,5.45,0.0
20190114:0510,0.0,0.0,0.0,1.72,5.03,0.0
20190114:0610,0.0,0.0,0.0,1.42,4.69,0.0
20190114:0710,0.0,0.0,0.0,1.11,4.34,0.0
20190114:0810,35.81,54.85,6.36,1.04,4.62,0.0
20190114:0910,32.05,50.77,12.17,1.38,4.0,0.0
20190114:1010,161.48,192.83,16.09,1.59,4.48,0.0
20190114:1110,131.89,161.59,17.79,1.7,4.83,0.0
20190114:1210,77.44,102.69,17.09,1.69,5.24,0.0
20190114:1310,588.17,660.55,14.06,1.73,5.52,0.0
20190114:1410,28.86,46.85,8.99,1.44,5.17,0.0
20190114:1510,0.0,0.0,0.0,0.66,6.48,0.0
20190114:1610,0.0,0.0,0.0,0.17,5.31,0.0
20190114:1710,0.0,0.0,0.0,-0.44,4.69,0.0
20190114:1810,0.0,0.0,0.0,-0.67,4.69,0.0
